#         id       lon       lat
        23      -6.25      43.25
       741      -4.75      37.75
       187      -0.25      42.25
       537      -6.50      39.50
       637      -3.00      38.75
       390      -5.75      40.75
       824      -5.75      36.75
        85      -6.50      42.75
       245       2.50      42.00
       840      -5.00      36.50
       528      -1.00      39.75
       795      -3.75      37.25
       279       1.25      41.75
       489      -3.50      40.00
       509      -5.75      39.75
       763      -5.75      37.50
       167      -5.25      42.25
       413       0.00      40.75
       341      -1.50      41.25
       423      -5.25      40.50
