#         id       lon       lat         h
         1      -4.92      38.15        572
         2      -0.65      41.58        195
         3       0.31      41.13        342
         4      -3.83      38.38        737
         5       2.97      42.06         60
         6      -0.28      38.96        277
         7      -8.58      42.67        251
         8      -3.12      43.27        277
         9      -2.95      41.01        890
        10      -1.01      40.34       1190
        11      -2.92      38.86        910
        12      -6.84      39.60        329
        13      -1.99      42.63        477
        14      -8.46      42.98        285
        15      -7.85      43.19        495
        16      -2.77      43.31        155
        17      -0.79      39.83       1016
        18      -4.47      38.49        774
        19      -8.86      42.87        262
        20      -6.31      37.10          6
        21      -1.81      43.28        290
        22      -0.80      37.93         93
        23       1.46      41.26        248
        24      -5.49      37.90        505
        25      -1.47      40.31       1423
        26      -0.79      38.08         31
        27      -4.14      41.34        856
        28      -2.75      36.90       1422
        29       0.76      41.61        187
        30      -5.48      39.75        445
        31      -4.63      40.04        396
        32      -3.53      39.62        690
        33      -2.77      37.80       1094
        34      -0.91      39.09        750
        35      -0.79      38.98        544
        36      -1.93      40.38       1479
        37      -3.66      37.78        588
        38      -1.46      37.61        370
        39      -5.28      40.35       1688
        40      -1.06      37.89        246
        41      -8.60      43.07        380
        42      -4.29      40.64       1463
        43       0.92      41.25        688
        44      -8.12      43.23        308
        45      -3.19      37.06       2276
        46      -5.50      37.15        146
        47      -4.37      37.04        771
        48      -6.70      38.40        464
        49      -4.50      43.09       1141
        50      -5.01      40.80        996
