#         id       lon       lat
         1      -0.77      40.08
         2      -2.32      37.99
         3       2.45      39.59
         4      -4.84      42.64
         5      -3.31      42.02
         6       0.60      42.67
         7      -6.19      38.05
         8      -2.99      37.26
         9      -5.73      42.90
        10       0.64      41.76
        11      -6.00      39.10
        12      -4.81      36.89
        13      -0.33      39.81
        14       1.22      41.48
        15      -2.32      38.09
        16      -2.13      39.18
        17      -0.17      41.66
        18      -8.06      43.28
        19      -2.00      38.08
        20      -5.87      39.90
        21      -2.64      40.60
        22      -3.38      38.57
        23      -2.80      40.01
        24      -5.24      38.15
        25      -7.29      39.34
        26      -1.46      42.41
        27      -4.96      40.05
        28      -3.36      39.17
        29      -6.34      42.45
        30      -3.12      38.76
        31      -5.79      42.90
        32      -2.23      41.99
        33      -4.95      40.59
        34      -4.63      43.39
        35      -7.09      38.59
        36      -6.32      39.20
        37      -5.56      36.75
        38      -5.15      40.30
        39      -4.74      41.19
        40      -6.78      39.30
        41      -5.23      38.65
        42      -6.27      41.20
        43      -3.77      40.33
        44      -2.73      37.40
        45      -2.84      41.91
        46      -2.30      39.69
        47      -6.00      36.25
        48       0.81      41.45
        49      -5.68      38.60
        50      -7.13      37.59
