#         id       lon       lat
         1      -3.74      41.18
         2      -4.48      37.79
         3      -5.13      41.65
         4      -1.64      37.77
         5       1.16      42.23
         6      -3.40      41.52
         7       2.79      39.71
         8      -3.87      39.38
         9      -3.37      42.07
        10      -7.01      37.84
        11      -8.52      42.72
        12      -2.61      42.45
        13       2.50      42.10
        14      -6.13      38.85
        15      -3.25      36.87
